,Company,Previous Closing Price,Opening Price,High,Low,Close,Change,Trades,Volume,Value,Trade Date
0,ABBEYBDS [BLS],1.68,1.68,--,--,--,,0,--,--,24 Mar 23
1,ABCTRANS,0.37,0.37,--,--,--,,7,"160,000","59,300.00",24 Mar 23
2,ACADEMY,1.29,1.29,--,--,--,,3,"12,115","15,768.35",24 Mar 23
3,ACCESSCORP [MRF],8.7,8.7,8.70,8.65,8.65,-0.05,99,"2,481,978","21,513,791.40",24 Mar 23
4,AFRINSURE [MRF],0.2,0.2,--,--,--,,0,--,--,24 Mar 23
5,AFRIPRUD,5.75,5.75,--,--,--,,25,"100,158","587,648.60",24 Mar 23
6,AFROMEDIA [MRF],0.2,0.2,--,--,--,,0,--,--,24 Mar 23
7,AIICO,0.6,0.6,0.60,0.57,0.57,-0.03,25,"2,522,596","1,455,347.70",24 Mar 23
8,AIRTELAFRI,1548.7,1548.7,--,--,--,,5,114,"160,036.10",24 Mar 23
9,ALEX [BLS],6.5,6.5,--,--,--,,0,--,--,24 Mar 23
10,ARBICO,1.03,1.03,--,--,--,,0,--,--,24 Mar 23
11,ARDOVA,17.05,17.05,--,--,--,,2,"2,448","37,576.80",24 Mar 23
12,ASOSAVINGS [DIP],0.5,0.5,--,--,--,,0,--,--,24 Mar 23
13,AUSTINLAZ [BLS],2.03,2.03,--,--,--,,0,--,--,24 Mar 23
14,BAPLC,6.25,6.25,--,--,--,,0,--,--,24 Mar 23
15,BERGER,7,7,--,--,--,,0,--,--,24 Mar 23
16,BETAGLAS,39.6,39.6,--,--,--,,3,248,"9,685.60",24 Mar 23
17,BUACEMENT,99.45,99.45,97.85,89.55,97.85,-1.6,27,"645,564","59,047,868.20",24 Mar 23
18,BUAFOODS,99,99,--,--,--,,7,"9,776","875,130.30",24 Mar 23
19,CADBURY,11.3,11.3,--,--,--,,10,"26,770","301,283.40",24 Mar 23
20,CAP,19,19,--,--,--,,10,"41,399","754,871.75",24 Mar 23
21,CAPHOTEL [BLS],2.5,2.5,--,--,--,,0,--,--,24 Mar 23
22,CAPOIL [MRF],0.2,0.2,--,--,--,,0,--,--,24 Mar 23
23,CAVERTON,1,1,--,--,--,,3,"20,300","20,294.00",24 Mar 23
24,CHAMPION [BMF],4.9,4.9,--,--,--,,1,204,985.32,24 Mar 23
25,CHAMS,0.24,0.24,0.25,0.24,0.25,0.01,10,"703,225","173,216.25",24 Mar 23
26,CHELLARAM,1.81,1.81,--,--,--,,0,--,--,24 Mar 23
